"C00001","O"
"C00020","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O"
"C00021","[C@H]1(O[C@@H]([C@H]([C@H]1O)O)CSCC[C@@H](C(=O)O)N)n1c2c(nc1)c(ncn2)N"
"C00022","CC(=O)C(=O)O"
"C00024","CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C00025","[C@H](CCC(=O)O)(C(=O)O)N"
"C00026","C(=O)(CCC(=O)O)C(=O)O"
"C00027","OO"
"C00029","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O"
"C00031","[C@H]1([C@H]([C@@H]([C@H](C(O1)O)O)O)O)CO"
"C00032","c12=CC3=NC(=Cc4n5c(c(c4C)C=C)C=C4N=C(C=c(n1[Fe]5)c(c2CCC(=O)O)C)C(=C4C)C=C)C(=C3CCC(=O)O)C"
"C00033","C(=O)(C)O"
"C00034","[Mn]"
"C00035","n1(c2c(nc1)c(=O)[nH]c(n2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O)O)O"
"C00036","OC(=O)CC(=O)C(=O)O"
"C00037","C(=O)(CN)O"
"C00038","[Zn+2]"
"C00039","[C@H]1([C@H](C[C@@H](O1)*)O)COP(=O)(O[C@@H]1[C@H](O[C@H](C1)*)COP(=O)(O[C@@H]1[C@H](O[C@H](C1)*)CO)O)O"
"C00040","*C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C00041","OC(=O)[C@H](C)N"
"C00042","OC(=O)CCC(=O)O"
"C00043","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)O)O"
"C00044","n1(c2c(nc1)c(=O)[nH]c(n2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O"
"C00045","OC(=O)C(N)*"
"C00046","[C@H]1([C@H]([C@H]([C@@H](O1)*)O)O)COP(=O)(O[C@@H]1[C@H](O[C@H]([C@@H]1O)*)COP(=O)(O[C@@H]1[C@H](O[C@H]([C@@H]1O)*)COP(=O)(O)O)O)O"
"C00047","[C@H](CCCCN)(C(=O)O)N"
"C00048","C(=O)(C=O)O"
"C00049","OC(=O)[C@H](CC(=O)O)N"
"C00051","OC(=O)[C@H](CCC(=O)N[C@H](C(=O)NCC(=O)O)CS)N"
"C00052","C1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO)O)O"
"C00053","n1([C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(OS(=O)(=O)O)O)OP(=O)(O)O)O)c2c(nc1)c(ncn2)N"
"C00054","n1([C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)OP(=O)(O)O)O)c2c(nc1)c(ncn2)N"
"C00055","[C@H]1([C@H]([C@H]([C@@H](O1)n1c(=O)nc(cc1)N)O)O)COP(=O)(O)O"
"C00058","C(=O)O"
"C00059","S(=O)(=O)(O)O"
"C00061","[nH]1c(=O)nc2c(c1=O)nc1c(n2C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)cc(c(c1)C)C"
"C00062","C(CCNC(=N)N)[C@@H](C(=O)O)N"
"C00063","[C@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O)n1c(=O)nc(cc1)N"
"C00064","[C@H](CCC(=O)N)(C(=O)O)N"
"C00065","[C@@H](C(=O)O)(CO)N"
"C00066","[C@H]1([C@H](O[C@H]([C@@H]1O)*)COP(=O)(O[C@@H]1[C@H](O[C@H]([C@@H]1O)*)CO)O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)*)O)O)O"
"C00067","C=O"
"C00068","[n+]1(c(c(sc1)CCOP(=O)(OP(=O)(O)O)O)C)Cc1c(nc(nc1)C)N"
"C00070","[Cu]"
"C00071","C(=O)*"
"C00072","[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O"
"C00073","[C@@H](C(=O)O)(CCSC)N"
"C00074","O(C(=C)C(=O)O)P(=O)(O)O"
"C00075","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O"
"C00076","[Ca+2]"
"C00077","[C@@H](C(=O)O)(CCCN)N"
"C00078","c12c(C[C@H](N)C(=O)O)c[nH]c1cccc2"
"C00079","c1(ccccc1)C[C@@H](C(=O)O)N"
"C00080","[H+]"
"C00081","n1(c2c(nc1)c(=O)[nH]cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O"
"C00082","c1(ccc(cc1)O)C[C@@H](C(=O)O)N"
"C00083","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)O"
"C00084","CC=O"
"C00085","[C@@H]1(OC([C@H]([C@@H]1O)O)(CO)O)COP(=O)(O)O"
"C00086","C(=O)(N)N"
"C00087","[S]"
"C00088","N(=O)O"
"C00089","[C@]1(O[C@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)(O[C@@H]([C@H]([C@@H]1O)O)CO)CO"
"C00090","c1(c(cccc1)O)O"
"C00091","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)CC(=O)O"
"C00092","P(=O)(OC[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)(O)O"
"C00093","OC[C@H](COP(=O)(O)O)O"
"C00094","S(=O)(O)O"
"C00095","C1([C@H]([C@@H]([C@H](O1)CO)O)O)(CO)O"
"C00096","n1(c2c(nc1)c(=O)[nH]c(n2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)CO)O)O"
"C00097","[C@@H](C(=O)O)(CS)N"
"C00098","NC(C(=O)NC(C(=O)O)*)*"
"C00099","C(C(=O)O)CN"
"C00100","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C"
"C00101","[nH]1c(nc2c(c1=O)N[C@H](CN2)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)N"
"C00103","[C@@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)OP(=O)(O)O"
"C00104","n1(c2c(nc1)c(=O)[nH]cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O)O)O"
"C00105","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O"
"C00106","[nH]1c(=O)cc[nH]c1=O"
"C00107","NC(C(=O)NC(C(=O)O)*)*"
"C00108","c1(c(cccc1)N)C(=O)O"
"C00109","C(=O)(C(=O)O)CC"
"C00110","C(C/C(=C\CCC(C)CCOP(=O)(O)O)/C)/C=C(/CC/C=C(/CCC=C(C)C)\C)\C"
"C00111","OCC(=O)COP(=O)(O)O"
"C00112","[C@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O)O)O)n1c(=O)nc(cc1)N"
"C00114","C[N+](CCO)(C)C"
"C00116","C(CO)(CO)O"
"C00117","P(=O)(OC[C@@H]1[C@H]([C@H](C(O1)O)O)O)(O)O"
"C00118","O=C[C@@H](COP(=O)(O)O)O"
"C00119","[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O)OP(=O)(OP(=O)(O)O)O"
"C00120","[C@H]12[C@@H](NC(=O)N2)CS[C@H]1CCCCC(=O)O"
"C00121","[C@H]1([C@H]([C@H](C(O1)O)O)O)CO"
"C00122","C(=O)(/C=C/C(=O)O)O"
"C00123","[C@H](CC(C)C)(C(=O)O)N"
"C00124","[C@H]1([C@@H]([C@@H]([C@H](C(O1)O)O)O)O)CO"
"C00127","OC(=O)[C@H](CCC(=O)N[C@H](C(=O)NCC(=O)O)CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)N"
"C00128","[C@@]1(O[C@H]([C@@H]([C@H](C1)O)NC(=O)C)[C@@H]([C@@H](CO)O)O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c(=O)nc(cc1)N)O)C(=O)O"
"C00129","P(=O)(OP(=O)(O)O)(OCCC(=C)C)O"
"C00130","n1(c2c(nc1)c(=O)[nH]cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O"
"C00131","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H](C1)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O"
"C00132","CO"
"C00133","OC(=O)[C@@H](C)N"
"C00134","C(CCN)CN"
"C00135","c1nc(c[nH]1)C[C@@H](C(=O)O)N"
"C00136","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)CC"
"C00137","[C@@H]1([C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)O)O"
"C00140","[C@H]1([C@H]([C@@H]([C@H](OC1O)CO)O)O)NC(=O)C"
"C00141","C(=O)(C(C)C)C(=O)O"
"C00143","N12c3c(NC[C@@H]1CN(C2)c1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O)nc([nH]c3=O)N"
"C00144","c12n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)COP(=O)(O)O)cnc1c(=O)[nH]c(n2)N"
"C00146","c1(ccccc1)O"
"C00147","c12c(ncnc1N)[nH]cn2"
"C00148","C1CC[C@H](N1)C(=O)O"
"C00149","[C@H](CC(=O)O)(C(=O)O)O"
"C00151","[C@H](C(=O)O)(N)*"
"C00152","[C@H](CC(=O)N)(C(=O)O)N"
"C00153","c1(cccnc1)C(=O)N"
"C00154","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)CCCCCCCCCCCCCC"
"C00155","OC(=O)[C@H](CCS)N"
"C00156","c1(C(=O)O)ccc(cc1)O"
"C00157","P(=O)(OCC(OC(=O)*)COC(=O)*)(OCC[N+](C)(C)C)[O-]"
"C00158","OC(=O)CC(CC(=O)O)(C(=O)O)O"
"C00159","[C@H]1([C@H]([C@@H]([C@@H](C(O1)O)O)O)O)CO"
"C00160","C(=O)(CO)O"
"C00162","C(=O)(O)*"
"C00163","C(=O)(CC)O"
"C00164","C(=O)(CC(=O)O)C"
"C00165","C(COC(=O)*)(OC(=O)*)CO"
"C00166","c1(ccccc1)CC(=O)C(=O)O"
"C00167","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)C(=O)O)O)O"
"C00168","C(=O)(C(=O)O)CO"
"C00169","P(=O)(OC(=O)N)(O)O"
"C00170","[C@H]1(O[C@@H]([C@H]([C@H]1O)O)CSC)n1c2c(nc1)c(ncn2)N"
"C00173","*CCC(=O)S*"
"C00175","[Co+2]"
"C00178","c1(=O)c(c[nH]c(=O)[nH]1)C"
"C00179","C(NC(=N)N)CCCN"
"C00180","c1(ccccc1)C(=O)O"
"C00181","[C@H]1([C@H](C(OC[C@H]1O)O)O)O"
"C00182","[C@H]1([C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@@H]1[C@H](O[C@@H]([C@@H]([C@H]1O)O)O)CO)CO[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO"
"C00183","[C@H](C(C)C)(C(=O)O)N"
"C00184","C(=O)(CO)CO"
"C00185","[C@H]1([C@H](OC([C@@H]([C@H]1O)O)O)CO)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO"
"C00186","[C@@H](C(=O)O)(C)O"
"C00187","[C@H]12[C@H]3[C@@H]([C@@]4(C(=CC3)C[C@H](CC4)O)C)CC[C@@]1([C@H](CC2)[C@@H](CCCC(C)C)C)C"
"C00188","OC(=O)[C@H]([C@@H](C)O)N"
"C00189","C(CO)N"
"C00190","C1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O"
"C00191","[C@H]1([C@H]([C@@H]([C@H](C(O1)O)O)O)O)C(=O)O"
"C00192","NO"
"C00194","[Co+](N1C2[C@@]3(N=C([C@H]([C@@]3(CC(=O)N)C)CCC(=O)N)/C(=C/3\N=C([C@H]([C@@]3(CC(=O)N)C)CCC(=O)N)/C=C/3\N=C(/C(=C\1/[C@@]([C@H]2CC(=O)N)(CCC(=O)NC[C@H](OP(=O)(O[C@H]1[C@H]([C@@H](n2cnc4c2cc(c(c4)C)C)O[C@@H]1CO)O)[O-])C)C)/C)[C@H](C3(C)C)CCC(=O)N)/C)C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c2c(nc1)c(ncn2)N"
"C00195","[C@H]([C@@H](/C=C/CCCCCCCCCCCCC)O)(NC(=O)*)CO"
"C00196","c1(c(c(ccc1)O)O)C(=O)O"
"C00197","P(=O)(OC[C@H](C(=O)O)O)(O)O"
"C00198","[C@H]1([C@H]([C@@H]([C@H](C(=O)O1)O)O)O)CO"
"C00199","[C@@H]([C@@H](COP(=O)(O)O)O)(C(=O)CO)O"
"C00203","C1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)NC(=O)C)O)O"
"C00204","C([C@H]([C@H](CC(=O)C(=O)O)O)O)O"
"C00206","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H](C1)O)COP(=O)(OP(=O)(O)O)O"
"C00207","C(=O)(C)C"
"C00208","[C@H]1([C@H](OC([C@@H]([C@H]1O)O)O)CO)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO"
"C00209","C(=O)(C(=O)O)O"
"C00212","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO"
"C00213","C(C(=O)O)NC"
"C00214","[C@H]1(O[C@@H]([C@H](C1)O)CO)n1c(=O)[nH]c(=O)c(c1)C"
"C00217","[C@@H](CCC(=O)O)(C(=O)O)N"
"C00218","CN"
"C00219","C(=C\C/C=C\C/C=C\CCCCC)\C/C=C\CCCC(=O)O"
"C00221","[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)CO"
"C00222","C(C(=O)O)C=O"
"C00223","C(=C\c1ccc(cc1)O)/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C00224","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OS(=O)(=O)O)O"
"C00226","C(O)*"
"C00227","P(=O)(OC(=O)C)(O)O"
"C00229","S*"
"C00230","c1(cc(c(cc1)O)O)C(=O)O"
"C00231","[C@H]([C@@H](COP(=O)(O)O)O)(C(=O)CO)O"
"C00232","C(C(=O)O)CC=O"
"C00233","C(=O)(CC(C)C)C(=O)O"
"C00234","[nH]1c(nc2c(c1=O)N[C@H](CN2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=O)N"
"C00235","P(=O)(OP(=O)(O)O)(OCC=C(C)C)O"
"C00236","P(=O)(OC(=O)[C@@H](COP(=O)(O)O)O)(O)O"
"C00237","[O+]#[C-]"
"C00238","[K+]"
"C00239","n1([C@@H]2O[C@@H]([C@H](C2)O)COP(=O)(O)O)c(=O)nc(cc1)N"
"C00242","c12c(c(=O)[nH]c(n1)N)nc[nH]2"
"C00243","[C@H]1([C@H](OC([C@@H]([C@H]1O)O)O)CO)O[C@@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO"
"C00244","N(=O)(=O)O"
"C00245","C(S(=O)(=O)O)CN"
"C00246","C(C(=O)O)CC"
"C00247","C1([C@H]([C@@H]([C@H](CO1)O)O)O)(CO)O"
"C00249","C(CCCCCCCCCC)CCCCC(=O)O"
"C00250","c1(c(cnc(c1O)C)CO)C=O"
"C00251","[C@H]1(C=C(C=C[C@H]1O)C(=O)O)OC(=C)C(=O)O"
"C00252","[C@@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)OC[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O"
"C00253","c1(cccnc1)C(=O)O"
"C00254","[C@]1(CC(=O)C(=O)O)(C=C[C@H](C=C1)O)C(=O)O"
"C00255","c12c(cc(c(c1)C)C)n(c1c(n2)c(=O)[nH]c(=O)n1)C[C@@H]([C@H](O)[C@H](O)CO)O"
"C00256","[C@H](C(=O)O)(C)O"
"C00257","OC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O"
"C00258","[C@H](C(=O)O)(CO)O"
"C00259","[C@H]1([C@H](C(OC[C@@H]1O)O)O)O"
"C00261","c1(ccccc1)C=O"
"C00262","c12c(nc[nH]c1=O)[nH]cn2"
"C00263","[C@H](CCO)(C(=O)O)N"
"C00264","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)*"
"C00266","C(C=O)O"
"C00267","[C@H]1([C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)CO"
"C00268","C12=NC(=NC(=O)C1=N[C@H](CN2)[C@H]([C@H](C)O)O)N"
"C00269","[C@@H]1(n2c(=O)nc(cc2)N)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OC[C@@H](COC(=O)*)OC(=O)*)O)O"
"C00270","[C@@H]1([C@@H]([C@H](CC(O1)(C(=O)O)O)O)NC(=O)C)[C@@H]([C@@H](CO)O)O"
"C00272","c12c(N[C@H](CN1)[C@H]([C@H](C)O)O)c(=O)[nH]c(n2)N"
"C00275","P(=O)(OC[C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)(O)O"
"C00279","C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O"
"C00280","C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)CC2)C)C"
"C00282","[H][H]"
"C00283","S"
"C00286","c12n([C@@H]3O[C@@H]([C@H](C3)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O)cnc1c(=O)[nH]c(n2)N"
"C00288","C(=O)(O)[O-]"
"C00290",
"C00291","[Ni]"
"C00292","c1(ccccc1)N"
"C00294","n1(c2c(nc1)c(=O)[nH]cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO"
"C00295","c1(cc(=O)[nH]c(=O)[nH]1)C(=O)O"
"C00296","[C@@]1(C(=O)O)(C[C@H]([C@@H]([C@@H](C1)O)O)O)O"
"C00299","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)CO"
"C00300","NC(=N)N(CC(=O)O)C"
"C00301","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)O)O)O"
"C00302","C(CCC(=O)O)(C(=O)O)N"
"C00304","O([C@H]1O[C@@H]([C@H]([C@@H]([C@H]1*)O)O)C*)[C@@H]1[C@H](C[C@H]([C@@H]([C@H]1O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)N)O)N)N"
"C00305","[Mg+2]"
"C00306","N[C@H](C(=O)N1[C@@H](CCC1)C(=O)N1[C@@H](CCC1)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCNC(=N)N)Cc1ccccc1)CO)Cc1ccccc1)CCCNC(=N)N"
"C00307","[C@@H]1([C@H]([C@@H](O[C@@H]1COP(=O)(OP(=O)(OCC[N+](C)(C)C)[O-])O)n1ccc(nc1=O)N)O)O"
"C00309","C1([C@@H]([C@@H](CO1)O)O)(CO)O"
"C00310","C1([C@H]([C@@H](CO1)O)O)(CO)O"
"C00311","C(C(C(=O)O)O)(CC(=O)O)C(=O)O"
"C00312","C1([C@@H]([C@H](CO1)O)O)(CO)O"
"C00313","C(=O)(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)O"
"C00314","c1(c(cnc(c1O)C)CO)CO"
"C00315","C(NCCCN)CCCN"
"C00318","C([N+](C)(C)C)[C@@H](CC(=O)[O-])O"
"C00319","C(=C\CCCCCCCCCCCCC)/[C@H]([C@H](CO)N)O"
"C00320","S(=O)(=O)(O)[S-]"
"C00322","C(C(=O)C(=O)O)CCC(=O)O"
"C00323","C(=C\c1cc(c(cc1)O)O)/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C00325","n1(c2c(nc1)c(=O)[nH]c(n2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)C)O)O)O)O)O"
"C00327","C(CCNC(=O)N)[C@@H](C(=O)O)N"
"C00328","c1ccc(c(c1)C(=O)C[C@@H](C(=O)O)N)N"
"C00329","[C@H]1([C@H]([C@@H]([C@H](C(O1)O)N)O)O)CO"
"C00330","n1(c2c(nc1)c(=O)[nH]c(n2)N)[C@@H]1O[C@@H]([C@H](C1)O)CO"
"C00331","c1ccc2c(c1)c(c[nH]2)CC(=O)C(=O)O"
"C00332","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)C"
"C00333","[C@H]1([C@@H]([C@@H]([C@H](C(O1)O)O)O)O)C(=O)O"
"C00334","C(C(=O)O)CCN"
"C00337","[C@H]1(CC(=O)NC(=O)N1)C(=O)O"
"C00338",
"C00340",
"C00341","O(P(=O)(OP(=O)(O)O)O)C/C=C(/CCC=C(C)C)\C"
"C00342","*N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)*)CS)*)*)CS"
"C00343","*N[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)*)CSSC1)*)*"
"C00344","P(=O)(OC[C@H](CO)O)(O)OC[C@@H](COC(=O)*)OC(=O)*"
"C00345","C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O"
"C00346","O(P(=O)(O)O)CCN"
"C00349","C(C(=O)O)(C=O)C"
"C00350","C(COP(=O)(OCCN)O)(COC(=O)*)OC(=O)*"
"C00352","P(=O)(OC[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)(O)O"
"C00353","O(P(=O)(OP(=O)(O)O)O)C/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C"
